datetime,time_min,us_station_obs,ds_station_obs
           2020-09-28 10:34:00,3870,4.97,3.84
           2020-09-28 10:44:00,3880,4.958877477,3.816434036
           2020-09-28 10:54:00,3890,4.95112084,3.799795161
           2020-09-28 11:04:00,3900,4.94,3.79
           2020-09-28 11:14:00,3910,4.920668153,3.785822843
           2020-09-28 11:24:00,3920,4.89581162,3.781468639
           2020-09-28 11:34:00,3930,4.87,3.77
           2020-09-28 11:44:00,3940,4.846968428,3.746570887
           2020-09-28 11:54:00,3950,4.827114163,3.714700654
           2020-09-28 12:04:00,3960,4.81,3.68
           2020-09-28 12:14:00,3970,4.79516184,3.646782496
           2020-09-28 12:24:00,3980,4.782028023,3.614173191
           2020-09-28 12:34:00,3990,4.77,3.58
           2020-09-28 12:44:00,4000,4.75868051,3.542965794
           2020-09-28 12:54:00,4010,4.748477449,3.50527325
           2020-09-28 13:04:00,4020,4.74,3.47
           2020-09-28 13:14:00,4030,4.733449452,3.439132107
           2020-09-28 13:24:00,4040,4.727395514,3.410289365
           2020-09-28 13:34:00,4050,4.72,3.38
           2020-09-28 13:44:00,4060,4.710114273,3.346061334
           2020-09-28 13:54:00,4070,4.6993479,3.311347069
           2020-09-28 14:04:00,4080,4.69,3.28
           2020-09-28 14:14:00,4090,4.683500863,3.254770705
           2020-09-28 14:24:00,4100,4.677805476,3.232840879
           2020-09-28 14:34:00,4110,4.67,3.21
           2020-09-28 14:44:00,4120,4.658104497,3.183744736
           2020-09-28 14:54:00,4130,4.643874639,3.158400526
           2020-09-28 15:04:00,4140,4.63,3.14
           2020-09-28 15:14:00,4150,4.618895963,3.131731832
           2020-09-28 15:24:00,4160,4.611881152,3.125408869
           2020-09-28 15:34:00,4170,4.61,3.11
           2020-09-28 15:44:00,4180,4.612237577,3.079327934
           2020-09-28 15:54:00,4190,4.609341494,3.046630664
           2020-09-28 16:04:00,4200,4.59,3.03
           2020-09-28 16:14:00,4210,4.546598174,3.04095643
           2020-09-28 16:24:00,4220,4.486308427,3.064735142
           2020-09-28 16:34:00,4230,4.42,3.08
           2020-09-28 16:44:00,4240,4.357295652,3.071290791
           2020-09-28 16:54:00,4250,4.302832206,3.046650992
           2020-09-28 17:04:00,4260,4.26,3.02
           2020-09-28 17:14:00,4270,4.230145144,3.002028553
           2020-09-28 17:24:00,4280,4.206436825,2.990512743
           2020-09-28 17:34:00,4290,4.18,2.98
           2020-09-28 17:44:00,4300,4.143975625,2.966891292
           2020-09-28 17:54:00,4310,4.099568644,2.955001739
